-7.346677046929565336e+01;-3.770211185055136127e+01
-6.634635410621916662e+01;-3.052667607911766723e+01
-5.861554241305753266e+01;-2.622634709256834995e+01
-4.991544566875694500e+01;-2.014064660250807748e+01
-4.839974829188058436e+01;-1.854720468125179877e+01
-4.487965038961909414e+01;-1.583453488294822620e+01
-3.188573678727553329e+01;-1.154111463434328400e+01
-2.482607791237849426e+01;-1.797928547951686440e+00
-1.400407937892367727e+01;4.268413890491748575e+00
7.413497695969525125e+00;2.272871234171486776e+01
9.625529384129976052e+00;1.357734497069530910e+01
1.200885871245431247e+01;2.830870772631915244e+01
2.041238302436940444e+01;2.841559524236678413e+01
2.316921188672776566e+01;3.065343341107066166e+01
2.506186478047325750e+01;3.836241380025316516e+01
2.942995242666194144e+01;3.297908485363541331e+01
5.380382103300431140e+01;5.101298977888691866e+01
5.840570728364374986e+01;6.046121009771771782e+01
5.970101760369863086e+01;5.222010080538269960e+01
9.626082454157258894e+01;7.418824733298835383e+01
