464;989;3-tipped-star
506;642;3-tipped-star
639;508;3-tipped-star
207;976;3-tipped-star
829;513;3-tipped-star
853;643;3-tipped-star
606;695;3-tipped-star
111;660;3-tipped-star
733;775;3-tipped-star
559;239;3-tipped-star
239;732;3-tipped-star
772;229;8-tipped-star
561;571;8-tipped-star
339;342;8-tipped-star
458;364;8-tipped-star
27;837;8-tipped-star
83;443;8-tipped-star
731;171;8-tipped-star
202;108;8-tipped-star
613;890;8-tipped-star
232;390;circle
960;322;circle
408;163;circle
120;308;circle
89;40;circle
