606;427;3-tipped-star
649;941;3-tipped-star
834;302;3-tipped-star
489;410;3-tipped-star
302;295;3-tipped-star
447;821;3-tipped-star
862;705;3-tipped-star
852;485;3-tipped-star
591;105;3-tipped-star
178;874;3-tipped-star
547;824;3-tipped-star
510;568;3-tipped-star
255;682;3-tipped-star
724;748;3-tipped-star
563;224;8-tipped-star
813;565;8-tipped-star
352;254;8-tipped-star
94;31;8-tipped-star
284;356;8-tipped-star
773;937;8-tipped-star
98;686;circle
420;110;circle
493;659;circle
738;490;circle
