244;804;3-tipped-star
543;582;3-tipped-star
516;157;3-tipped-star
855;114;3-tipped-star
616;380;3-tipped-star
714;433;3-tipped-star
496;203;3-tipped-star
446;762;3-tipped-star
330;69;3-tipped-star
993;290;3-tipped-star
704;190;3-tipped-star
906;825;3-tipped-star
210;440;8-tipped-star
929;990;8-tipped-star
419;55;8-tipped-star
444;668;8-tipped-star
73;372;8-tipped-star
582;942;8-tipped-star
799;578;8-tipped-star
74;237;8-tipped-star
743;56;8-tipped-star
357;467;8-tipped-star
243;584;circle
558;346;circle
163;784;circle
590;709;circle
