823;245;3-tipped-star
250;629;3-tipped-star
994;22;3-tipped-star
510;364;3-tipped-star
147;914;3-tipped-star
634;519;3-tipped-star
916;560;3-tipped-star
264;733;3-tipped-star
694;500;3-tipped-star
154;646;3-tipped-star
78;139;3-tipped-star
958;394;8-tipped-star
164;773;8-tipped-star
443;784;8-tipped-star
532;64;8-tipped-star
475;77;8-tipped-star
441;518;8-tipped-star
569;714;8-tipped-star
673;769;8-tipped-star
514;855;8-tipped-star
496;959;circle
802;876;circle
684;28;circle
926;772;circle
