638;862;3-tipped-star
856;819;3-tipped-star
821;590;3-tipped-star
736;437;3-tipped-star
261;405;3-tipped-star
432;478;3-tipped-star
300;244;3-tipped-star
121;427;3-tipped-star
64;745;3-tipped-star
753;224;3-tipped-star
844;853;3-tipped-star
156;902;8-tipped-star
870;589;8-tipped-star
156;63;8-tipped-star
656;515;8-tipped-star
778;906;8-tipped-star
200;852;8-tipped-star
347;877;8-tipped-star
85;257;8-tipped-star
347;267;circle
962;36;circle
845;498;circle
564;465;circle
778;53;circle
