84;531;3-tipped-star
462;88;3-tipped-star
329;583;3-tipped-star
443;895;3-tipped-star
24;75;3-tipped-star
361;306;3-tipped-star
726;291;3-tipped-star
753;965;3-tipped-star
725;738;3-tipped-star
831;497;3-tipped-star
351;693;3-tipped-star
475;538;3-tipped-star
71;409;3-tipped-star
723;152;8-tipped-star
224;344;8-tipped-star
989;975;8-tipped-star
268;913;8-tipped-star
661;226;8-tipped-star
184;682;8-tipped-star
610;554;8-tipped-star
319;803;8-tipped-star
533;898;circle
837;257;circle
587;751;circle
953;732;circle
168;285;circle
552;95;circle
