581;32;3-tipped-star
228;752;3-tipped-star
938;25;3-tipped-star
304;672;3-tipped-star
660;892;3-tipped-star
567;209;3-tipped-star
457;167;3-tipped-star
748;238;3-tipped-star
227;87;3-tipped-star
265;863;3-tipped-star
167;876;3-tipped-star
50;473;3-tipped-star
996;853;3-tipped-star
794;563;3-tipped-star
369;272;3-tipped-star
651;799;8-tipped-star
74;546;8-tipped-star
975;387;8-tipped-star
404;410;8-tipped-star
363;832;8-tipped-star
640;533;circle
210;334;circle
933;763;circle
758;432;circle
265;493;circle
