768;584;3-tipped-star
854;628;3-tipped-star
77;864;3-tipped-star
868;420;3-tipped-star
479;103;3-tipped-star
441;794;3-tipped-star
251;257;3-tipped-star
198;690;3-tipped-star
913;85;3-tipped-star
895;221;3-tipped-star
668;908;3-tipped-star
840;895;3-tipped-star
515;504;3-tipped-star
255;59;3-tipped-star
50;86;3-tipped-star
231;526;8-tipped-star
544;327;8-tipped-star
754;261;8-tipped-star
180;380;8-tipped-star
694;745;8-tipped-star
698;367;8-tipped-star
146;559;8-tipped-star
687;120;8-tipped-star
23;798;8-tipped-star
48;292;circle
252;443;circle
605;702;circle
951;773;circle
